as_of_date,industry_name,adoption_rate,sample_size,created_at
2025-09-05,Agriculture,0.73077,78,2025-09-05 12:51:55.460308+00
2025-09-05,Construction,0.76923,91,2025-09-05 12:51:55.460308+00
2025-09-05,Education,0.56338,71,2025-09-05 12:51:55.460308+00
2025-09-05,Financial Services,0.65049,103,2025-09-05 12:51:55.460308+00
2025-09-05,Healthcare,0.57895,76,2025-09-05 12:51:55.460308+00
2025-09-05,Hospitality & Tourism,0.71264,87,2025-09-05 12:51:55.460308+00
2025-09-05,Information Technology,0.58667,75,2025-09-05 12:51:55.460308+00
2025-09-05,Manufacturing,0.70238,84,2025-09-05 12:51:55.460308+00
2025-09-05,Retail & Wholesale,0.55263,76,2025-09-05 12:51:55.460308+00
2025-09-05,Transport & Logistics,0.56075,107,2025-09-05 12:51:55.460308+00
