client_sk,client_id,valid_from,valid_to,is_current,legal_name,registration_no,onboarding_date,years_in_business,employees_band,turnover_band,segment,kyc_status,relationship_manager_id,geography_sk,industry_sk
1,C000001,3/1/2023,8/2/2025,True,Client 1 (Pty) Ltd,REG0000001,05/10/2017,23,21-50,R20m-R100m,Small,Verified,RM037,46,7
2,C000002,3/1/2023,8/2/2025,True,Client 2 (Pty) Ltd,REG0000002,07/18/2018,25,101-250,R5m-R20m,Micro,Verified,RM004,42,1
3,C000003,3/1/2023,8/2/2025,True,Client 3 (Pty) Ltd,REG0000003,02/04/2018,1,1-20,R20m-R100m,Small,Verified,RM011,27,8
4,C000004,3/1/2023,8/2/2025,True,Client 4 (Pty) Ltd,REG0000004,12/31/2017,22,21-50,< R5m,Micro,Verified,RM064,43,8
5,C000005,3/1/2023,8/2/2025,True,Client 5 (Pty) Ltd,REG0000005,06/27/2019,21,51-100,R5m-R20m,Medium,Pending,RM099,47,3
6,C000006,3/1/2023,8/2/2025,True,Client 6 (Pty) Ltd,REG0000006,12/09/2020,4,21-50,R5m-R20m,Medium,Verified,RM014,22,8
7,C000007,3/1/2023,8/2/2025,True,Client 7 (Pty) Ltd,REG0000007,04/11/2016,26,1-20,< R5m,Corporate,Verified,RM082,20,7
8,C000008,3/1/2023,8/2/2025,True,Client 8 (Pty) Ltd,REG0000008,05/23/2018,28,51-100,< R5m,Micro,Verified,RM008,12,4
9,C000009,3/1/2023,8/2/2025,True,Client 9 (Pty) Ltd,REG0000009,11/27/2015,16,21-50,R5m-R20m,Small,Verified,RM033,2,10
10,C000010,3/1/2023,8/2/2025,True,Client 10 (Pty) Ltd,REG0000010,01/22/2019,27,1-20,< R5m,Corporate,Verified,RM009,33,5
11,C000011,3/1/2023,8/2/2025,True,Client 11 (Pty) Ltd,REG0000011,11/05/2020,14,1-20,< R5m,Micro,Verified,RM027,14,10
12,C000012,3/1/2023,8/2/2025,True,Client 12 (Pty) Ltd,REG0000012,12/29/2022,1,1-20,< R5m,Medium,Verified,RM048,11,4
13,C000013,3/1/2023,8/2/2025,True,Client 13 (Pty) Ltd,REG0000013,05/11/2015,4,21-50,R20m-R100m,Micro,Verified,RM036,28,5
14,C000014,3/1/2023,8/2/2025,True,Client 14 (Pty) Ltd,REG0000014,08/13/2019,10,1-20,< R5m,Small,Verified,RM021,43,10
15,C000015,3/1/2023,8/2/2025,True,Client 15 (Pty) Ltd,REG0000015,02/08/2017,11,21-50,< R5m,Micro,Verified,RM100,13,5
16,C000016,3/1/2023,8/2/2025,True,Client 16 (Pty) Ltd,REG0000016,07/19/2021,7,101-250,R5m-R20m,Micro,Verified,RM019,9,9
17,C000017,3/1/2023,8/2/2025,True,Client 17 (Pty) Ltd,REG0000017,02/24/2019,4,101-250,R20m-R100m,Small,Verified,RM018,43,7
18,C000018,3/1/2023,8/2/2025,True,Client 18 (Pty) Ltd,REG0000018,10/24/2022,1,101-250,R5m-R20m,Micro,Verified,RM014,28,4
19,C000019,3/1/2023,8/2/2025,True,Client 19 (Pty) Ltd,REG0000019,08/30/2021,26,51-100,R100m-R500m,Small,Verified,RM062,12,10
20,C000020,3/1/2023,8/2/2025,True,Client 20 (Pty) Ltd,REG0000020,04/30/2018,1,21-50,R100m-R500m,Corporate,Verified,RM090,29,4
21,C000021,3/1/2023,8/2/2025,True,Client 21 (Pty) Ltd,REG0000021,08/13/2017,17,21-50,R100m-R500m,Micro,Verified,RM003,14,4
22,C000022,3/1/2023,8/2/2025,True,Client 22 (Pty) Ltd,REG0000022,05/13/2021,27,501-1000,R5m-R20m,Corporate,Verified,RM035,38,2
23,C000023,3/1/2023,8/2/2025,True,Client 23 (Pty) Ltd,REG0000023,03/30/2018,10,251-500,R20m-R100m,Micro,Verified,RM096,23,9
24,C000024,3/1/2023,8/2/2025,True,Client 24 (Pty) Ltd,REG0000024,04/04/2016,5,51-100,< R5m,Medium,Verified,RM068,46,6
25,C000025,3/1/2023,8/2/2025,True,Client 25 (Pty) Ltd,REG0000025,01/22/2015,7,21-50,R5m-R20m,Small,Verified,RM068,35,4
26,C000026,3/1/2023,8/2/2025,True,Client 26 (Pty) Ltd,REG0000026,04/19/2021,25,51-100,< R5m,Small,Verified,RM013,21,10
27,C000027,3/1/2023,8/2/2025,True,Client 27 (Pty) Ltd,REG0000027,01/17/2017,8,1-20,< R5m,Small,In Review,RM088,43,7
28,C000028,3/1/2023,8/2/2025,True,Client 28 (Pty) Ltd,REG0000028,12/14/2022,2,501-1000,< R5m,Corporate,Pending,RM009,29,6
29,C000029,3/1/2023,8/2/2025,True,Client 29 (Pty) Ltd,REG0000029,04/19/2016,9,21-50,< R5m,Small,In Review,RM023,31,6
30,C000030,3/1/2023,8/2/2025,True,Client 30 (Pty) Ltd,REG0000030,12/18/2017,4,21-50,< R5m,Micro,Verified,RM009,38,4
31,C000031,3/1/2023,8/2/2025,True,Client 31 (Pty) Ltd,REG0000031,01/02/2022,12,1-20,< R5m,Small,Rejected,RM049,31,3
32,C000032,3/1/2023,8/2/2025,True,Client 32 (Pty) Ltd,REG0000032,08/09/2020,26,1-20,R5m-R20m,Small,Verified,RM050,10,7
33,C000033,3/1/2023,8/2/2025,True,Client 33 (Pty) Ltd,REG0000033,07/10/2022,11,1-20,< R5m,Corporate,Verified,RM027,5,5
34,C000034,3/1/2023,8/2/2025,True,Client 34 (Pty) Ltd,REG0000034,09/02/2017,5,1-20,R5m-R20m,Micro,Verified,RM054,46,2
35,C000035,3/1/2023,8/2/2025,True,Client 35 (Pty) Ltd,REG0000035,12/12/2019,12,21-50,< R5m,Small,Verified,RM073,44,6
36,C000036,3/1/2023,8/2/2025,True,Client 36 (Pty) Ltd,REG0000036,07/09/2015,27,1-20,R100m-R500m,Small,In Review,RM029,19,1
37,C000037,3/1/2023,8/2/2025,True,Client 37 (Pty) Ltd,REG0000037,06/27/2022,21,501-1000,< R5m,Micro,Verified,RM098,47,7
38,C000038,3/1/2023,8/2/2025,True,Client 38 (Pty) Ltd,REG0000038,07/16/2016,4,21-50,< R5m,Micro,Verified,RM045,40,8
39,C000039,3/1/2023,8/2/2025,True,Client 39 (Pty) Ltd,REG0000039,03/14/2020,13,1-20,R5m-R20m,Micro,Verified,RM086,46,9
40,C000040,3/1/2023,8/2/2025,True,Client 40 (Pty) Ltd,REG0000040,06/21/2018,22,21-50,R5m-R20m,Enterprise,Pending,RM039,24,5
41,C000041,3/1/2023,8/2/2025,True,Client 41 (Pty) Ltd,REG0000041,11/19/2022,1,1-20,< R5m,Micro,Verified,RM010,43,5
42,C000042,3/1/2023,8/2/2025,True,Client 42 (Pty) Ltd,REG0000042,03/09/2019,18,251-500,< R5m,Micro,Verified,RM082,48,4
43,C000043,3/1/2023,8/2/2025,True,Client 43 (Pty) Ltd,REG0000043,10/08/2016,4,21-50,R20m-R100m,Micro,Verified,RM047,36,2
44,C000044,3/1/2023,8/2/2025,True,Client 44 (Pty) Ltd,REG0000044,08/30/2020,4,1-20,< R5m,Enterprise,Verified,RM049,7,9
45,C000045,3/1/2023,8/2/2025,True,Client 45 (Pty) Ltd,REG0000045,11/28/2022,8,1-20,< R5m,Medium,Verified,RM017,35,5
46,C000046,3/1/2023,8/2/2025,True,Client 46 (Pty) Ltd,REG0000046,01/23/2021,25,21-50,R5m-R20m,Small,Verified,RM063,2,10
47,C000047,3/1/2023,8/2/2025,True,Client 47 (Pty) Ltd,REG0000047,07/21/2018,28,21-50,R100m-R500m,Enterprise,Verified,RM038,40,4
48,C000048,3/1/2023,8/2/2025,True,Client 48 (Pty) Ltd,REG0000048,09/01/2021,20,21-50,< R5m,Small,Pending,RM072,30,9
49,C000049,3/1/2023,8/2/2025,True,Client 49 (Pty) Ltd,REG0000049,08/23/2016,6,21-50,R5m-R20m,Medium,Verified,RM031,39,8
50,C000050,3/1/2023,8/2/2025,True,Client 50 (Pty) Ltd,REG0000050,06/21/2021,4,51-100,R100m-R500m,Micro,Verified,RM043,44,2
51,C000051,3/1/2023,8/2/2025,True,Client 51 (Pty) Ltd,REG0000051,08/23/2020,4,51-100,< R5m,Corporate,Verified,RM059,49,2
52,C000052,3/1/2023,8/2/2025,True,Client 52 (Pty) Ltd,REG0000052,08/30/2015,28,21-50,< R5m,Enterprise,Pending,RM064,25,9
