date_sk,date,day,month,month_name,quarter,year,day_of_week,day_name,is_weekend,is_holiday
20230101,2023-01-01,1,1,January,1,2023,6,Sunday,1,1
20230102,2023-01-02,2,1,January,1,2023,0,Monday,0,0
20230103,2023-01-03,3,1,January,1,2023,1,Tuesday,0,0
20230104,2023-01-04,4,1,January,1,2023,2,Wednesday,0,0
20230105,2023-01-05,5,1,January,1,2023,3,Thursday,0,0
20230106,2023-01-06,6,1,January,1,2023,4,Friday,0,0
20230107,2023-01-07,7,1,January,1,2023,5,Saturday,1,0
20230108,2023-01-08,8,1,January,1,2023,6,Sunday,1,0
20230109,2023-01-09,9,1,January,1,2023,0,Monday,0,0
20230110,2023-01-10,10,1,January,1,2023,1,Tuesday,0,0
20230111,2023-01-11,11,1,January,1,2023,2,Wednesday,0,0
20230112,2023-01-12,12,1,January,1,2023,3,Thursday,0,0
20230113,2023-01-13,13,1,January,1,2023,4,Friday,0,0
20230114,2023-01-14,14,1,January,1,2023,5,Saturday,1,0
20230115,2023-01-15,15,1,January,1,2023,6,Sunday,1,0
20230116,2023-01-16,16,1,January,1,2023,0,Monday,0,1
20230117,2023-01-17,17,1,January,1,2023,1,Tuesday,0,0
20230118,2023-01-18,18,1,January,1,2023,2,Wednesday,0,0
20230119,2023-01-19,19,1,January,1,2023,3,Thursday,0,0
20230120,2023-01-20,20,1,January,1,2023,4,Friday,0,0
20230121,2023-01-21,21,1,January,1,2023,5,Saturday,1,0
20230122,2023-01-22,22,1,January,1,2023,6,Sunday,1,0
20230123,2023-01-23,23,1,January,1,2023,0,Monday,0,0
20230124,2023-01-24,24,1,January,1,2023,1,Tuesday,0,0
20230125,2023-01-25,25,1,January,1,2023,2,Wednesday,0,0
20230126,2023-01-26,26,1,January,1,2023,3,Thursday,0,0
20230127,2023-01-27,27,1,January,1,2023,4,Friday,0,0
20230128,2023-01-28,28,1,January,1,2023,5,Saturday,1,0
20230129,2023-01-29,29,1,January,1,2023,6,Sunday,1,0
20230130,2023-01-30,30,1,January,1,2023,0,Monday,0,0
20230131,2023-01-31,31,1,January,1,2023,1,Tuesday,0,0
20230201,2023-02-01,1,2,February,1,2023,2,Wednesday,0,0
20230202,2023-02-02,2,2,February,1,2023,3,Thursday,0,0
20230203,2023-02-03,3,2,February,1,2023,4,Friday,0,0
20230204,2023-02-04,4,2,February,1,2023,5,Saturday,1,0
20230205,2023-02-05,5,2,February,1,2023,6,Sunday,1,0
20230206,2023-02-06,6,2,February,1,2023,0,Monday,0,0
20230207,2023-02-07,7,2,February,1,2023,1,Tuesday,0,0
20230208,2023-02-08,8,2,February,1,2023,2,Wednesday,0,0
20230209,2023-02-09,9,2,February,1,2023,3,Thursday,0,0
20230210,2023-02-10,10,2,February,1,2023,4,Friday,0,0
20230211,2023-02-11,11,2,February,1,2023,5,Saturday,1,0
20230212,2023-02-12,12,2,February,1,2023,6,Sunday,1,0
20230213,2023-02-13,13,2,February,1,2023,0,Monday,0,0
20230214,2023-02-14,14,2,February,1,2023,1,Tuesday,0,0
20230215,2023-02-15,15,2,February,1,2023,2,Wednesday,0,0
20230216,2023-02-16,16,2,February,1,2023,3,Thursday,0,0
20230217,2023-02-17,17,2,February,1,2023,4,Friday,0,0
20230218,2023-02-18,18,2,February,1,2023,5,Saturday,1,0
20230219,2023-02-19,19,2,February,1,2023,6,Sunday,1,0
20230220,2023-02-20,20,2,February,1,2023,0,Monday,0,1
20230221,2023-02-21,21,2,February,1,2023,1,Tuesday,0,0
20230222,2023-02-22,22,2,February,1,2023,2,Wednesday,0,0
20230223,2023-02-23,23,2,February,1,2023,3,Thursday,0,0
20230224,2023-02-24,24,2,February,1,2023,4,Friday,0,0
20230225,2023-02-25,25,2,February,1,2023,5,Saturday,1,0
20230226,2023-02-26,26,2,February,1,2023,6,Sunday,1,0
20230227,2023-02-27,27,2,February,1,2023,0,Monday,0,0
20230228,2023-02-28,28,2,February,1,2023,1,Tuesday,0,0
20230301,2023-03-01,1,3,March,1,2023,2,Wednesday,0,0
20230302,2023-03-02,2,3,March,1,2023,3,Thursday,0,0
20230303,2023-03-03,3,3,March,1,2023,4,Friday,0,0
20230304,2023-03-04,4,3,March,1,2023,5,Saturday,1,0
20230305,2023-03-05,5,3,March,1,2023,6,Sunday,1,0
20230306,2023-03-06,6,3,March,1,2023,0,Monday,0,0
20230307,2023-03-07,7,3,March,1,2023,1,Tuesday,0,0
20230308,2023-03-08,8,3,March,1,2023,2,Wednesday,0,0
20230309,2023-03-09,9,3,March,1,2023,3,Thursday,0,0
20230310,2023-03-10,10,3,March,1,2023,4,Friday,0,0
20230311,2023-03-11,11,3,March,1,2023,5,Saturday,1,0
20230312,2023-03-12,12,3,March,1,2023,6,Sunday,1,0
20230313,2023-03-13,13,3,March,1,2023,0,Monday,0,0
20230314,2023-03-14,14,3,March,1,2023,1,Tuesday,0,0
20230315,2023-03-15,15,3,March,1,2023,2,Wednesday,0,0
20230316,2023-03-16,16,3,March,1,2023,3,Thursday,0,0
20230317,2023-03-17,17,3,March,1,2023,4,Friday,0,0
20230318,2023-03-18,18,3,March,1,2023,5,Saturday,1,0
20230319,2023-03-19,19,3,March,1,2023,6,Sunday,1,0
20230320,2023-03-20,20,3,March,1,2023,0,Monday,0,0
20230321,2023-03-21,21,3,March,1,2023,1,Tuesday,0,0
20230322,2023-03-22,22,3,March,1,2023,2,Wednesday,0,0
20230323,2023-03-23,23,3,March,1,2023,3,Thursday,0,0
20230324,2023-03-24,24,3,March,1,2023,4,Friday,0,0
20230325,2023-03-25,25,3,March,1,2023,5,Saturday,1,0
20230326,2023-03-26,26,3,March,1,2023,6,Sunday,1,0
20230327,2023-03-27,27,3,March,1,2023,0,Monday,0,0
20230328,2023-03-28,28,3,March,1,2023,1,Tuesday,0,0
20230329,2023-03-29,29,3,March,1,2023,2,Wednesday,0,0
20230330,2023-03-30,30,3,March,1,2023,3,Thursday,0,0
20230331,2023-03-31,31,3,March,1,2023,4,Friday,0,0
20230401,2023-04-01,1,4,April,2,2023,5,Saturday,1,0
20230402,2023-04-02,2,4,April,2,2023,6,Sunday,1,0
20230403,2023-04-03,3,4,April,2,2023,0,Monday,0,0
20230404,2023-04-04,4,4,April,2,2023,1,Tuesday,0,0
20230405,2023-04-05,5,4,April,2,2023,2,Wednesday,0,0
20230406,2023-04-06,6,4,April,2,2023,3,Thursday,0,0
20230407,2023-04-07,7,4,April,2,2023,4,Friday,0,0
20230408,2023-04-08,8,4,April,2,2023,5,Saturday,1,0
20230409,2023-04-09,9,4,April,2,2023,6,Sunday,1,0
20230410,2023-04-10,10,4,April,2,2023,0,Monday,0,0
20230411,2023-04-11,11,4,April,2,2023,1,Tuesday,0,0
20230412,2023-04-12,12,4,April,2,2023,2,Wednesday,0,0
20230413,2023-04-13,13,4,April,2,2023,3,Thursday,0,0
20230414,2023-04-14,14,4,April,2,2023,4,Friday,0,0
20230415,2023-04-15,15,4,April,2,2023,5,Saturday,1,0
20230416,2023-04-16,16,4,April,2,2023,6,Sunday,1,0
20230417,2023-04-17,17,4,April,2,2023,0,Monday,0,0
20230418,2023-04-18,18,4,April,2,2023,1,Tuesday,0,0
20230419,2023-04-19,19,4,April,2,2023,2,Wednesday,0,0
20230420,2023-04-20,20,4,April,2,2023,3,Thursday,0,0
20230421,2023-04-21,21,4,April,2,2023,4,Friday,0,0
20230422,2023-04-22,22,4,April,2,2023,5,Saturday,1,0
20230423,2023-04-23,23,4,April,2,2023,6,Sunday,1,0
20230424,2023-04-24,24,4,April,2,2023,0,Monday,0,0
20230425,2023-04-25,25,4,April,2,2023,1,Tuesday,0,0
20230426,2023-04-26,26,4,April,2,2023,2,Wednesday,0,0
20230427,2023-04-27,27,4,April,2,2023,3,Thursday,0,0
20230428,2023-04-28,28,4,April,2,2023,4,Friday,0,0
20230429,2023-04-29,29,4,April,2,2023,5,Saturday,1,0
20230430,2023-04-30,30,4,April,2,2023,6,Sunday,1,0
20230501,2023-05-01,1,5,May,2,2023,0,Monday,0,0
20230502,2023-05-02,2,5,May,2,2023,1,Tuesday,0,0
20230503,2023-05-03,3,5,May,2,2023,2,Wednesday,0,0
20230504,2023-05-04,4,5,May,2,2023,3,Thursday,0,0
20230505,2023-05-05,5,5,May,2,2023,4,Friday,0,0
20230506,2023-05-06,6,5,May,2,2023,5,Saturday,1,0
20230507,2023-05-07,7,5,May,2,2023,6,Sunday,1,0
20230508,2023-05-08,8,5,May,2,2023,0,Monday,0,0
20230509,2023-05-09,9,5,May,2,2023,1,Tuesday,0,0
20230510,2023-05-10,10,5,May,2,2023,2,Wednesday,0,0
20230511,2023-05-11,11,5,May,2,2023,3,Thursday,0,0
20230512,2023-05-12,12,5,May,2,2023,4,Friday,0,0
20230513,2023-05-13,13,5,May,2,2023,5,Saturday,1,0
20230514,2023-05-14,14,5,May,2,2023,6,Sunday,1,0
20230515,2023-05-15,15,5,May,2,2023,0,Monday,0,0
20230516,2023-05-16,16,5,May,2,2023,1,Tuesday,0,0
20230517,2023-05-17,17,5,May,2,2023,2,Wednesday,0,0
20230518,2023-05-18,18,5,May,2,2023,3,Thursday,0,0
20230519,2023-05-19,19,5,May,2,2023,4,Friday,0,0
20230520,2023-05-20,20,5,May,2,2023,5,Saturday,1,0
20230521,2023-05-21,21,5,May,2,2023,6,Sunday,1,0
20230522,2023-05-22,22,5,May,2,2023,0,Monday,0,0
20230523,2023-05-23,23,5,May,2,2023,1,Tuesday,0,0
20230524,2023-05-24,24,5,May,2,2023,2,Wednesday,0,0
20230525,2023-05-25,25,5,May,2,2023,3,Thursday,0,0
20230526,2023-05-26,26,5,May,2,2023,4,Friday,0,0
20230527,2023-05-27,27,5,May,2,2023,5,Saturday,1,0
20230528,2023-05-28,28,5,May,2,2023,6,Sunday,1,0
20230529,2023-05-29,29,5,May,2,2023,0,Monday,0,1
20230530,2023-05-30,30,5,May,2,2023,1,Tuesday,0,0
20230531,2023-05-31,31,5,May,2,2023,2,Wednesday,0,0
20230601,2023-06-01,1,6,June,2,2023,3,Thursday,0,0
20230602,2023-06-02,2,6,June,2,2023,4,Friday,0,0
20230603,2023-06-03,3,6,June,2,2023,5,Saturday,1,0
20230604,2023-06-04,4,6,June,2,2023,6,Sunday,1,0
20230605,2023-06-05,5,6,June,2,2023,0,Monday,0,0
20230606,2023-06-06,6,6,June,2,2023,1,Tuesday,0,0
20230607,2023-06-07,7,6,June,2,2023,2,Wednesday,0,0
20230608,2023-06-08,8,6,June,2,2023,3,Thursday,0,0
20230609,2023-06-09,9,6,June,2,2023,4,Friday,0,0
20230610,2023-06-10,10,6,June,2,2023,5,Saturday,1,0
20230611,2023-06-11,11,6,June,2,2023,6,Sunday,1,0
20230612,2023-06-12,12,6,June,2,2023,0,Monday,0,0
20230613,2023-06-13,13,6,June,2,2023,1,Tuesday,0,0
20230614,2023-06-14,14,6,June,2,2023,2,Wednesday,0,0
20230615,2023-06-15,15,6,June,2,2023,3,Thursday,0,0
20230616,2023-06-16,16,6,June,2,2023,4,Friday,0,0
20230617,2023-06-17,17,6,June,2,2023,5,Saturday,1,0
20230618,2023-06-18,18,6,June,2,2023,6,Sunday,1,0
20230619,2023-06-19,19,6,June,2,2023,0,Monday,0,0
20230620,2023-06-20,20,6,June,2,2023,1,Tuesday,0,0
20230621,2023-06-21,21,6,June,2,2023,2,Wednesday,0,0
20230622,2023-06-22,22,6,June,2,2023,3,Thursday,0,0
20230623,2023-06-23,23,6,June,2,2023,4,Friday,0,0
20230624,2023-06-24,24,6,June,2,2023,5,Saturday,1,0
20230625,2023-06-25,25,6,June,2,2023,6,Sunday,1,0
20230626,2023-06-26,26,6,June,2,2023,0,Monday,0,0
20230627,2023-06-27,27,6,June,2,2023,1,Tuesday,0,0
20230628,2023-06-28,28,6,June,2,2023,2,Wednesday,0,0
20230629,2023-06-29,29,6,June,2,2023,3,Thursday,0,0
20230630,2023-06-30,30,6,June,2,2023,4,Friday,0,0
20230701,2023-07-01,1,7,July,3,2023,5,Saturday,1,0
20230702,2023-07-02,2,7,July,3,2023,6,Sunday,1,0
20230703,2023-07-03,3,7,July,3,2023,0,Monday,0,0
20230704,2023-07-04,4,7,July,3,2023,1,Tuesday,0,1
20230705,2023-07-05,5,7,July,3,2023,2,Wednesday,0,0
20230706,2023-07-06,6,7,July,3,2023,3,Thursday,0,0
20230707,2023-07-07,7,7,July,3,2023,4,Friday,0,0
20230708,2023-07-08,8,7,July,3,2023,5,Saturday,1,0
20230709,2023-07-09,9,7,July,3,2023,6,Sunday,1,0
20230710,2023-07-10,10,7,July,3,2023,0,Monday,0,0
20230711,2023-07-11,11,7,July,3,2023,1,Tuesday,0,0
20230712,2023-07-12,12,7,July,3,2023,2,Wednesday,0,0
20230713,2023-07-13,13,7,July,3,2023,3,Thursday,0,0
20230714,2023-07-14,14,7,July,3,2023,4,Friday,0,0
20230715,2023-07-15,15,7,July,3,2023,5,Saturday,1,0
20230716,2023-07-16,16,7,July,3,2023,6,Sunday,1,0
20230717,2023-07-17,17,7,July,3,2023,0,Monday,0,0
20230718,2023-07-18,18,7,July,3,2023,1,Tuesday,0,0
20230719,2023-07-19,19,7,July,3,2023,2,Wednesday,0,0
20230720,2023-07-20,20,7,July,3,2023,3,Thursday,0,0
20230721,2023-07-21,21,7,July,3,2023,4,Friday,0,0
20230722,2023-07-22,22,7,July,3,2023,5,Saturday,1,0
20230723,2023-07-23,23,7,July,3,2023,6,Sunday,1,0
20230724,2023-07-24,24,7,July,3,2023,0,Monday,0,0
20230725,2023-07-25,25,7,July,3,2023,1,Tuesday,0,0
20230726,2023-07-26,26,7,July,3,2023,2,Wednesday,0,0
20230727,2023-07-27,27,7,July,3,2023,3,Thursday,0,0
20230728,2023-07-28,28,7,July,3,2023,4,Friday,0,0
20230729,2023-07-29,29,7,July,3,2023,5,Saturday,1,0
20230730,2023-07-30,30,7,July,3,2023,6,Sunday,1,0
20230731,2023-07-31,31,7,July,3,2023,0,Monday,0,0
20230801,2023-08-01,1,8,August,3,2023,1,Tuesday,0,0
20230802,2023-08-02,2,8,August,3,2023,2,Wednesday,0,0
20230803,2023-08-03,3,8,August,3,2023,3,Thursday,0,0
20230804,2023-08-04,4,8,August,3,2023,4,Friday,0,0
20230805,2023-08-05,5,8,August,3,2023,5,Saturday,1,0
20230806,2023-08-06,6,8,August,3,2023,6,Sunday,1,0
20230807,2023-08-07,7,8,August,3,2023,0,Monday,0,0
20230808,2023-08-08,8,8,August,3,2023,1,Tuesday,0,0
20230809,2023-08-09,9,8,August,3,2023,2,Wednesday,0,0
20230810,2023-08-10,10,8,August,3,2023,3,Thursday,0,0
20230811,2023-08-11,11,8,August,3,2023,4,Friday,0,0
20230812,2023-08-12,12,8,August,3,2023,5,Saturday,1,0
20230813,2023-08-13,13,8,August,3,2023,6,Sunday,1,0
20230814,2023-08-14,14,8,August,3,2023,0,Monday,0,0
20230815,2023-08-15,15,8,August,3,2023,1,Tuesday,0,0
20230816,2023-08-16,16,8,August,3,2023,2,Wednesday,0,0
20230817,2023-08-17,17,8,August,3,2023,3,Thursday,0,0
20230818,2023-08-18,18,8,August,3,2023,4,Friday,0,0
20230819,2023-08-19,19,8,August,3,2023,5,Saturday,1,0
20230820,2023-08-20,20,8,August,3,2023,6,Sunday,1,0
20230821,2023-08-21,21,8,August,3,2023,0,Monday,0,0
20230822,2023-08-22,22,8,August,3,2023,1,Tuesday,0,0
20230823,2023-08-23,23,8,August,3,2023,2,Wednesday,0,0
20230824,2023-08-24,24,8,August,3,2023,3,Thursday,0,0
20230825,2023-08-25,25,8,August,3,2023,4,Friday,0,0
20230826,2023-08-26,26,8,August,3,2023,5,Saturday,1,0
20230827,2023-08-27,27,8,August,3,2023,6,Sunday,1,0
20230828,2023-08-28,28,8,August,3,2023,0,Monday,0,0
20230829,2023-08-29,29,8,August,3,2023,1,Tuesday,0,0
20230830,2023-08-30,30,8,August,3,2023,2,Wednesday,0,0
20230831,2023-08-31,31,8,August,3,2023,3,Thursday,0,0
20230901,2023-09-01,1,9,September,3,2023,4,Friday,0,0
20230902,2023-09-02,2,9,September,3,2023,5,Saturday,1,0
20230903,2023-09-03,3,9,September,3,2023,6,Sunday,1,0
20230904,2023-09-04,4,9,September,3,2023,0,Monday,0,1
20230905,2023-09-05,5,9,September,3,2023,1,Tuesday,0,0
20230906,2023-09-06,6,9,September,3,2023,2,Wednesday,0,0
20230907,2023-09-07,7,9,September,3,2023,3,Thursday,0,0
20230908,2023-09-08,8,9,September,3,2023,4,Friday,0,0
20230909,2023-09-09,9,9,September,3,2023,5,Saturday,1,0
20230910,2023-09-10,10,9,September,3,2023,6,Sunday,1,0
20230911,2023-09-11,11,9,September,3,2023,0,Monday,0,0
20230912,2023-09-12,12,9,September,3,2023,1,Tuesday,0,0
20230913,2023-09-13,13,9,September,3,2023,2,Wednesday,0,0
20230914,2023-09-14,14,9,September,3,2023,3,Thursday,0,0
20230915,2023-09-15,15,9,September,3,2023,4,Friday,0,0
20230916,2023-09-16,16,9,September,3,2023,5,Saturday,1,0
20230917,2023-09-17,17,9,September,3,2023,6,Sunday,1,0
20230918,2023-09-18,18,9,September,3,2023,0,Monday,0,0
20230919,2023-09-19,19,9,September,3,2023,1,Tuesday,0,0
20230920,2023-09-20,20,9,September,3,2023,2,Wednesday,0,0
20230921,2023-09-21,21,9,September,3,2023,3,Thursday,0,0
20230922,2023-09-22,22,9,September,3,2023,4,Friday,0,0
20230923,2023-09-23,23,9,September,3,2023,5,Saturday,1,0
20230924,2023-09-24,24,9,September,3,2023,6,Sunday,1,0
20230925,2023-09-25,25,9,September,3,2023,0,Monday,0,0
20230926,2023-09-26,26,9,September,3,2023,1,Tuesday,0,0
20230927,2023-09-27,27,9,September,3,2023,2,Wednesday,0,0
20230928,2023-09-28,28,9,September,3,2023,3,Thursday,0,0
20230929,2023-09-29,29,9,September,3,2023,4,Friday,0,0
20230930,2023-09-30,30,9,September,3,2023,5,Saturday,1,0
20231001,2023-10-01,1,10,October,4,2023,6,Sunday,1,0
20231002,2023-10-02,2,10,October,4,2023,0,Monday,0,0
20231003,2023-10-03,3,10,October,4,2023,1,Tuesday,0,0
20231004,2023-10-04,4,10,October,4,2023,2,Wednesday,0,0
20231005,2023-10-05,5,10,October,4,2023,3,Thursday,0,0
20231006,2023-10-06,6,10,October,4,2023,4,Friday,0,0
20231007,2023-10-07,7,10,October,4,2023,5,Saturday,1,0
20231008,2023-10-08,8,10,October,4,2023,6,Sunday,1,0
